"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Fourth Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2013","Fourth Quarter","118069","1867114","1.1","851","-0.5","Total, all industries","01","AL"
Alaska,"2013","Fourth Quarter","21903","315137","0.1","1022","1.6","Total, all industries","02","AK"
Arizona,"2013","Fourth Quarter","145247","2572965","2.5","905","-0.7","Total, all industries","04","AZ"
Arkansas,"2013","Fourth Quarter","87226","1155234","-0.4","772","0.5","Total, all industries","05","AR"
California,"2013","Fourth Quarter","1363210","15657015","2.8","1175","-0.9","Total, all industries","06","CA"
Colorado,"2013","Fourth Quarter","175096","2384075","3.1","1024","-0.8","Total, all industries","08","CO"
Connecticut,"2013","Fourth Quarter","113309","1661218","0.3","1244","-0.8","Total, all industries","09","CT"
Delaware,"2013","Fourth Quarter","28785","420651","2.1","1033","-0.8","Total, all industries","10","DE"
District Of Columbia,"2013","Fourth Quarter","35752","730347","1.0","1636","-4.0","Total, all industries","11","DC"
Florida,"2013","Fourth Quarter","633583","7741539","2.7","884","0.3","Total, all industries","12","FL"
Georgia,"2013","Fourth Quarter","276793","3984586","2.4","923","-0.2","Total, all industries","13","GA"
Hawaii,"2013","Fourth Quarter","38685","633975","1.9","871","0.3","Total, all industries","15","HI"
Idaho,"2013","Fourth Quarter","53806","634492","2.6","752","2.7","Total, all industries","16","ID"
Illinois,"2013","Fourth Quarter","402909","5761578","1.0","1059","0.1","Total, all industries","17","IL"
Indiana,"2013","Fourth Quarter","158709","2898272","1.6","814","-0.2","Total, all industries","18","IN"
Iowa,"2013","Fourth Quarter","98123","1510822","1.4","834","1.6","Total, all industries","19","IA"
Kansas,"2013","Fourth Quarter","84660","1358879","1.5","833","-0.2","Total, all industries","20","KS"
Kentucky,"2013","Fourth Quarter","119598","1818829","1.3","803","0.1","Total, all industries","21","KY"
Louisiana,"2013","Fourth Quarter","128409","1914527","1.1","889","0.5","Total, all industries","22","LA"
Maine,"2013","Fourth Quarter","49214","587337","0.9","786","1.7","Total, all industries","23","ME"
Maryland,"2013","Fourth Quarter","167368","2555934","0.4","1075","-1.0","Total, all industries","24","MD"
Massachusetts,"2013","Fourth Quarter","223662","3341787","1.8","1258","0.8","Total, all industries","25","MA"
Michigan,"2013","Fourth Quarter","235738","4072703","2.0","953","-0.1","Total, all industries","26","MI"
Minnesota,"2013","Fourth Quarter","163667","2723561","1.8","988","0.3","Total, all industries","27","MN"
Mississippi,"2013","Fourth Quarter","71080","1107848","1.1","730","1.4","Total, all industries","28","MS"
Missouri,"2013","Fourth Quarter","182253","2670259","1.1","862","-0.1","Total, all industries","29","MO"
Montana,"2013","Fourth Quarter","43463","439966","1.3","760","0.4","Total, all industries","30","MT"
Nebraska,"2013","Fourth Quarter","69454","945076","1.5","796","-0.1","Total, all industries","31","NE"
Nevada,"2013","Fourth Quarter","75040","1180595","3.0","885","0.8","Total, all industries","32","NV"
New Hampshire,"2013","Fourth Quarter","49935","629368","1.4","1017","-0.8","Total, all industries","33","NH"
New Jersey,"2013","Fourth Quarter","262161","3881678","1.1","1187","1.2","Total, all industries","34","NJ"
New Mexico,"2013","Fourth Quarter","55761","798021","0.2","814","1.4","Total, all industries","35","NM"
New York,"2013","Fourth Quarter","611332","8892043","1.7","1266","-1.1","Total, all industries","36","NY"
North Carolina,"2013","Fourth Quarter","257730","4044954","1.9","861","0.8","Total, all industries","37","NC"
North Dakota,"2013","Fourth Quarter","31224","435025","3.3","980","3.8","Total, all industries","38","ND"
Ohio,"2013","Fourth Quarter","289298","5179382","1.5","887","0.0","Total, all industries","39","OH"
Oklahoma,"2013","Fourth Quarter","106435","1581728","0.6","852","0.0","Total, all industries","40","OK"
Oregon,"2013","Fourth Quarter","133992","1701294","2.6","894","2.6","Total, all industries","41","OR"
Pennsylvania,"2013","Fourth Quarter","343993","5647263","0.4","977","0.5","Total, all industries","42","PA"
Rhode Island,"2013","Fourth Quarter","35607","462750","1.4","960","1.5","Total, all industries","44","RI"
South Carolina,"2013","Fourth Quarter","117860","1877734","2.4","792","0.9","Total, all industries","45","SC"
South Dakota,"2013","Fourth Quarter","31827","407066","1.3","759","1.3","Total, all industries","46","SD"
Tennessee,"2013","Fourth Quarter","144047","2756231","1.7","896","-0.8","Total, all industries","47","TN"
Texas,"2013","Fourth Quarter","615598","11248559","2.6","1026","-0.1","Total, all industries","48","TX"
Utah,"2013","Fourth Quarter","89776","1284999","3.1","836","-0.9","Total, all industries","49","UT"
Vermont,"2013","Fourth Quarter","24433","308994","0.7","847","2.2","Total, all industries","50","VT"
Virginia,"2013","Fourth Quarter","237928","3669254","0.0","1028","-1.3","Total, all industries","51","VA"
Washington,"2013","Fourth Quarter","253725","2974631","2.5","1035","1.8","Total, all industries","53","WA"
West Virginia,"2013","Fourth Quarter","49823","711211","-0.4","792","0.5","Total, all industries","54","WV"
Wisconsin,"2013","Fourth Quarter","162939","2753124","1.0","865","1.2","Total, all industries","55","WI"
Wyoming,"2013","Fourth Quarter","25487","279473","0.7","916","0.9","Total, all industries","56","WY"
Puerto Rico,"2013","Fourth Quarter","47972","958530","-2.3","552","0.4","Total, all industries","72","PR"
Virgin Islands,"2013","Fourth Quarter","3392","38598","-3.4","755","2.6","Total, all industries","78","VI"
 
