"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Third Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2017","Third Quarter","125237","1942328","0.9","858","-1.4","Total, all industries","01","AL"
Alaska,"2017","Third Quarter","21976","335365","-0.8","1027","-2.7","Total, all industries","02","AK"
Arizona,"2017","Third Quarter","158404","2761048","2.4","947","-0.3","Total, all industries","04","AZ"
Arkansas,"2017","Third Quarter","89434","1213845","0.7","788","-0.6","Total, all industries","05","AR"
California,"2017","Third Quarter","1521269","17154015","1.7","1214","0.4","Total, all industries","06","CA"
Colorado,"2017","Third Quarter","200238","2627944","2.0","1067","0.5","Total, all industries","08","CO"
Connecticut,"2017","Third Quarter","119184","1676353","0.1","1180","-2.2","Total, all industries","09","CT"
Delaware,"2017","Third Quarter","32106","445132","0.9","1021","-0.1","Total, all industries","10","DE"
District Of Columbia,"2017","Third Quarter","40308","765345","0.8","1757","1.2","Total, all industries","11","DC"
Florida,"2017","Third Quarter","672145","8306755","-0.2","896","-1.1","Total, all industries","12","FL"
Georgia,"2017","Third Quarter","274381","4347876","1.4","961","-0.9","Total, all industries","13","GA"
Hawaii,"2017","Third Quarter","41289","654450","0.7","952","-0.4","Total, all industries","15","HI"
Idaho,"2017","Third Quarter","61604","721616","2.6","780","-0.3","Total, all industries","16","ID"
Illinois,"2017","Third Quarter","363575","5982819","0.7","1055","-0.5","Total, all industries","17","IL"
Indiana,"2017","Third Quarter","165488","3044351","0.6","862","-0.5","Total, all industries","18","IN"
Iowa,"2017","Third Quarter","102084","1546162","-0.2","855","-2.2","Total, all industries","19","IA"
Kansas,"2017","Third Quarter","88201","1377040","0.0","838","-2.2","Total, all industries","20","KS"
Kentucky,"2017","Third Quarter","121879","1888812","0.5","837","-2.4","Total, all industries","21","KY"
Louisiana,"2017","Third Quarter","131079","1905947","0.0","869","-1.7","Total, all industries","22","LA"
Maine,"2017","Third Quarter","54327","622613","0.9","821","-0.5","Total, all industries","23","ME"
Maryland,"2017","Third Quarter","171201","2665928","0.6","1104","-1.8","Total, all industries","24","MD"
Massachusetts,"2017","Third Quarter","254753","3574039","1.1","1264","-1.0","Total, all industries","25","MA"
Michigan,"2017","Third Quarter","245349","4333769","0.9","964","-1.1","Total, all industries","26","MI"
Minnesota,"2017","Third Quarter","169244","2882455","1.1","1031","-1.9","Total, all industries","27","MN"
Mississippi,"2017","Third Quarter","73327","1131268","0.1","729","-1.4","Total, all industries","28","MS"
Missouri,"2017","Third Quarter","207545","2800944","0.7","878","-1.2","Total, all industries","29","MO"
Montana,"2017","Third Quarter","49248","468407","0.9","793","0.1","Total, all industries","30","MT"
Nebraska,"2017","Third Quarter","73384","974188","-0.1","849","-0.9","Total, all industries","31","NE"
Nevada,"2017","Third Quarter","80164","1337521","2.9","914","-3.8","Total, all industries","32","NV"
New Hampshire,"2017","Third Quarter","52151","659053","0.6","1023","-0.3","Total, all industries","33","NH"
New Jersey,"2017","Third Quarter","265922","4042240","1.1","1157","-1.4","Total, all industries","34","NJ"
New Mexico,"2017","Third Quarter","58056","816714","0.4","823","-0.8","Total, all industries","35","NM"
New York,"2017","Third Quarter","642236","9334413","1.3","1221","-0.1","Total, all industries","36","NY"
North Carolina,"2017","Third Quarter","274513","4351472","1.4","904","-0.7","Total, all industries","37","NC"
North Dakota,"2017","Third Quarter","31963","419611","-0.9","953","-1.2","Total, all industries","38","ND"
Ohio,"2017","Third Quarter","296370","5384711","0.7","920","-0.8","Total, all industries","39","OH"
Oklahoma,"2017","Third Quarter","110709","1597433","1.0","844","-1.1","Total, all industries","40","OK"
Oregon,"2017","Third Quarter","151423","1910863","2.1","968","-0.2","Total, all industries","41","OR"
Pennsylvania,"2017","Third Quarter","353726","5839137","1.0","1001","-1.2","Total, all industries","42","PA"
Rhode Island,"2017","Third Quarter","37568","484630","0.8","976","-1.5","Total, all industries","44","RI"
South Carolina,"2017","Third Quarter","129764","2031735","1.1","827","-0.6","Total, all industries","45","SC"
South Dakota,"2017","Third Quarter","33398","425835","0.3","803","-0.7","Total, all industries","46","SD"
Tennessee,"2017","Third Quarter","157525","2954324","1.2","903","-1.2","Total, all industries","47","TN"
Texas,"2017","Third Quarter","679287","12014308","1.5","1032","-1.0","Total, all industries","48","TX"
Utah,"2017","Third Quarter","99414","1445191","2.7","879","-0.2","Total, all industries","49","UT"
Vermont,"2017","Third Quarter","25565","310847","0.2","869","-1.4","Total, all industries","50","VT"
Virginia,"2017","Third Quarter","271413","3847395","1.1","1052","-0.9","Total, all industries","51","VA"
Washington,"2017","Third Quarter","241818","3343760","2.0","1205","1.4","Total, all industries","53","WA"
West Virginia,"2017","Third Quarter","50568","694491","0.2","827","1.2","Total, all industries","54","WV"
Wisconsin,"2017","Third Quarter","173149","2869912","0.6","876","-1.0","Total, all industries","55","WI"
Wyoming,"2017","Third Quarter","26292","276651","0.4","868","0.3","Total, all industries","56","WY"
Puerto Rico,"2017","Third Quarter","45299","860960","-3.3","507","-3.1","Total, all industries","72","PR"
Virgin Islands,"2017","Third Quarter","3475","36253","-3.0","749","-3.7","Total, all industries","78","VI"
 
