"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Second Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2016","Second Quarter","121684","1923534","1.2","835","2.0","Total, all industries","01","AL"
Alaska,"2016","Second Quarter","22044","340765","-1.8","1010","-1.8","Total, all industries","02","AK"
Arizona,"2016","Second Quarter","151314","2623249","2.8","920","1.8","Total, all industries","04","AZ"
Arkansas,"2016","Second Quarter","88196","1197861","1.1","785","3.0","Total, all industries","05","AR"
California,"2016","Second Quarter","1458145","16781872","2.6","1156","2.3","Total, all industries","06","CA"
Colorado,"2016","Second Quarter","191073","2574609","2.3","1000","1.1","Total, all industries","08","CO"
Connecticut,"2016","Second Quarter","116871","1690195","-0.1","1211","2.8","Total, all industries","09","CT"
Delaware,"2016","Second Quarter","31616","444037","0.9","990","-0.6","Total, all industries","10","DE"
District Of Columbia,"2016","Second Quarter","38146","758627","2.0","1622","1.1","Total, all industries","11","DC"
Florida,"2016","Second Quarter","653639","8163995","3.2","883","2.6","Total, all industries","12","FL"
Georgia,"2016","Second Quarter","297595","4266836","2.6","929","2.7","Total, all industries","13","GA"
Hawaii,"2016","Second Quarter","39514","646491","1.5","903","3.2","Total, all industries","15","HI"
Idaho,"2016","Second Quarter","58418","699471","3.3","740","3.8","Total, all industries","16","ID"
Illinois,"2016","Second Quarter","395490","5952592","0.3","1037","2.3","Total, all industries","17","IL"
Indiana,"2016","Second Quarter","162611","2996423","1.1","828","2.1","Total, all industries","18","IN"
Iowa,"2016","Second Quarter","100938","1564943","0.3","826","3.0","Total, all industries","19","IA"
Kansas,"2016","Second Quarter","89865","1379667","-0.1","829","1.2","Total, all industries","20","KS"
Kentucky,"2016","Second Quarter","123190","1874208","1.3","838","1.9","Total, all industries","21","KY"
Louisiana,"2016","Second Quarter","127425","1907893","-1.3","852","0.2","Total, all industries","22","LA"
Maine,"2016","Second Quarter","52508","623591","1.1","794","3.4","Total, all industries","23","ME"
Maryland,"2016","Second Quarter","171315","2658228","1.0","1070","2.5","Total, all industries","24","MD"
Massachusetts,"2016","Second Quarter","246312","3547302","1.5","1233","2.0","Total, all industries","25","MA"
Michigan,"2016","Second Quarter","240199","4297630","1.8","942","2.7","Total, all industries","26","MI"
Minnesota,"2016","Second Quarter","160239","2846226","0.7","998","2.1","Total, all industries","27","MN"
Mississippi,"2016","Second Quarter","72570","1120904","0.6","726","2.4","Total, all industries","28","MS"
Missouri,"2016","Second Quarter","193976","2785439","1.4","863","2.4","Total, all industries","29","MO"
Montana,"2016","Second Quarter","45996","467612","2.0","767","1.7","Total, all industries","30","MT"
Nebraska,"2016","Second Quarter","72449","979598","1.0","805","2.4","Total, all industries","31","NE"
Nevada,"2016","Second Quarter","81337","1289227","3.3","875","2.3","Total, all industries","32","NV"
New Hampshire,"2016","Second Quarter","51290","655272","1.1","1003","3.7","Total, all industries","33","NH"
New Jersey,"2016","Second Quarter","260277","4049186","1.6","1147","1.7","Total, all industries","34","NJ"
New Mexico,"2016","Second Quarter","58481","809529","-0.1","811","0.7","Total, all industries","35","NM"
New York,"2016","Second Quarter","630018","9265201","1.5","1210","2.5","Total, all industries","36","NY"
North Carolina,"2016","Second Quarter","269994","4282923","2.4","865","2.1","Total, all industries","37","NC"
North Dakota,"2016","Second Quarter","32071","423515","-4.8","908","-3.3","Total, all industries","38","ND"
Ohio,"2016","Second Quarter","292933","5358135","0.9","883","2.1","Total, all industries","39","OH"
Oklahoma,"2016","Second Quarter","109154","1571316","-1.3","824","0.7","Total, all industries","40","OK"
Oregon,"2016","Second Quarter","143389","1871375","2.9","932","4.0","Total, all industries","41","OR"
Pennsylvania,"2016","Second Quarter","351832","5786022","0.4","971","1.4","Total, all industries","42","PA"
Rhode Island,"2016","Second Quarter","36797","482571","0.6","955","3.1","Total, all industries","44","RI"
South Carolina,"2016","Second Quarter","124355","2013342","2.4","805","2.9","Total, all industries","45","SC"
South Dakota,"2016","Second Quarter","32943","432835","1.0","759","2.6","Total, all industries","46","SD"
Tennessee,"2016","Second Quarter","152187","2896373","2.2","875","1.4","Total, all industries","47","TN"
Texas,"2016","Second Quarter","655460","11814592","1.0","1000","1.2","Total, all industries","48","TX"
Utah,"2016","Second Quarter","95065","1393509","3.6","840","2.3","Total, all industries","49","UT"
Vermont,"2016","Second Quarter","24952","311253","0.2","852","2.7","Total, all industries","50","VT"
Virginia,"2016","Second Quarter","266100","3831022","1.5","1010","1.1","Total, all industries","51","VA"
Washington,"2016","Second Quarter","240971","3280394","2.8","1081","5.2","Total, all industries","53","WA"
West Virginia,"2016","Second Quarter","49916","692785","-2.0","801","-0.2","Total, all industries","54","WV"
Wisconsin,"2016","Second Quarter","168595","2873099","1.0","856","2.4","Total, all industries","55","WI"
Wyoming,"2016","Second Quarter","26217","282095","-3.6","849","-2.2","Total, all industries","56","WY"
Puerto Rico,"2016","Second Quarter","46269","882052","-0.4","509","-0.4","Total, all industries","72","PR"
Virgin Islands,"2016","Second Quarter","3366","38423","1.0","743","-0.4","Total, all industries","78","VI"
 
