"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Fourth Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2014","Fourth Quarter","119125","1890424","1.2","882","3.6","Total, all industries","01","AL"
Alaska,"2014","Fourth Quarter","22418","317568","0.8","1064","4.1","Total, all industries","02","AK"
Arizona,"2014","Fourth Quarter","149587","2632685","2.3","926","2.3","Total, all industries","04","AZ"
Arkansas,"2014","Fourth Quarter","87230","1181505","2.3","807","4.5","Total, all industries","05","AR"
California,"2014","Fourth Quarter","1396971","16089814","2.8","1209","2.9","Total, all industries","06","CA"
Colorado,"2014","Fourth Quarter","180691","2475391","3.8","1068","4.3","Total, all industries","08","CO"
Connecticut,"2014","Fourth Quarter","114638","1680481","1.2","1279","2.8","Total, all industries","09","CT"
Delaware,"2014","Fourth Quarter","30311","433518","3.1","1050","1.6","Total, all industries","10","DE"
District Of Columbia,"2014","Fourth Quarter","37082","738022","1.1","1698","3.8","Total, all industries","11","DC"
Florida,"2014","Fourth Quarter","647217","8012496","3.5","911","3.1","Total, all industries","12","FL"
Georgia,"2014","Fourth Quarter","284575","4129570","3.6","958","3.8","Total, all industries","13","GA"
Hawaii,"2014","Fourth Quarter","39010","639200","0.8","908","4.2","Total, all industries","15","HI"
Idaho,"2014","Fourth Quarter","55792","648347","2.2","783","4.1","Total, all industries","16","ID"
Illinois,"2014","Fourth Quarter","417976","5850094","1.5","1090","2.9","Total, all industries","17","IL"
Indiana,"2014","Fourth Quarter","157397","2947475","1.7","846","3.9","Total, all industries","18","IN"
Iowa,"2014","Fourth Quarter","99905","1528148","1.1","870","4.3","Total, all industries","19","IA"
Kansas,"2014","Fourth Quarter","85859","1376961","1.3","855","2.6","Total, all industries","20","KS"
Kentucky,"2014","Fourth Quarter","121581","1852610","1.9","836","4.1","Total, all industries","21","KY"
Louisiana,"2014","Fourth Quarter","125280","1957714","2.3","923","3.8","Total, all industries","22","LA"
Maine,"2014","Fourth Quarter","49740","592910","0.9","826","5.1","Total, all industries","23","ME"
Maryland,"2014","Fourth Quarter","167486","2593145","1.5","1113","3.5","Total, all industries","24","MD"
Massachusetts,"2014","Fourth Quarter","235356","3425555","2.5","1314","4.5","Total, all industries","25","MA"
Michigan,"2014","Fourth Quarter","237542","4155638","2.0","985","3.4","Total, all industries","26","MI"
Minnesota,"2014","Fourth Quarter","167990","2763734","1.5","1024","3.6","Total, all industries","27","MN"
Mississippi,"2014","Fourth Quarter","72232","1119238","1.0","747","2.3","Total, all industries","28","MS"
Missouri,"2014","Fourth Quarter","187749","2709656","1.5","892","3.5","Total, all industries","29","MO"
Montana,"2014","Fourth Quarter","44557","442379","0.5","794","4.5","Total, all industries","30","MT"
Nebraska,"2014","Fourth Quarter","70372","958152","1.4","837","5.2","Total, all industries","31","NE"
Nevada,"2014","Fourth Quarter","77193","1229768","4.2","899","1.6","Total, all industries","32","NV"
New Hampshire,"2014","Fourth Quarter","50645","637837","1.3","1081","6.3","Total, all industries","33","NH"
New Jersey,"2014","Fourth Quarter","266595","3921961","1.0","1214","2.3","Total, all industries","34","NJ"
New Mexico,"2014","Fourth Quarter","56107","809831","1.5","850","4.4","Total, all industries","35","NM"
New York,"2014","Fourth Quarter","622134","9069829","2.0","1321","4.3","Total, all industries","36","NY"
North Carolina,"2014","Fourth Quarter","260244","4142253","2.4","890","3.4","Total, all industries","37","NC"
North Dakota,"2014","Fourth Quarter","32066","454792","4.5","1050","7.1","Total, all industries","38","ND"
Ohio,"2014","Fourth Quarter","289498","5266591","1.7","922","3.9","Total, all industries","39","OH"
Oklahoma,"2014","Fourth Quarter","107767","1616281","2.2","876","2.8","Total, all industries","40","OK"
Oregon,"2014","Fourth Quarter","139516","1756665","3.3","928","3.8","Total, all industries","41","OR"
Pennsylvania,"2014","Fourth Quarter","347496","5721188","1.3","1013","3.7","Total, all industries","42","PA"
Rhode Island,"2014","Fourth Quarter","36000","471281","1.8","1003","4.5","Total, all industries","44","RI"
South Carolina,"2014","Fourth Quarter","120741","1933292","3.0","817","3.2","Total, all industries","45","SC"
South Dakota,"2014","Fourth Quarter","32224","412505","1.3","791","4.2","Total, all industries","46","SD"
Tennessee,"2014","Fourth Quarter","147714","2820092","2.3","928","3.6","Total, all industries","47","TN"
Texas,"2014","Fourth Quarter","629971","11672985","3.8","1070","4.3","Total, all industries","48","TX"
Utah,"2014","Fourth Quarter","92391","1324820","3.1","872","4.3","Total, all industries","49","UT"
Vermont,"2014","Fourth Quarter","24520","311260","0.7","883","4.3","Total, all industries","50","VT"
Virginia,"2014","Fourth Quarter","242217","3694853","0.7","1057","2.8","Total, all industries","51","VA"
Washington,"2014","Fourth Quarter","241374","3068113","3.1","1081","4.4","Total, all industries","53","WA"
West Virginia,"2014","Fourth Quarter","50053","712610","0.2","818","3.3","Total, all industries","54","WV"
Wisconsin,"2014","Fourth Quarter","165320","2791001","1.4","894","3.4","Total, all industries","55","WI"
Wyoming,"2014","Fourth Quarter","25550","284236","1.7","953","4.0","Total, all industries","56","WY"
Puerto Rico,"2014","Fourth Quarter","46342","944611","-1.5","556","0.7","Total, all industries","72","PR"
Virgin Islands,"2014","Fourth Quarter","3506","38489","-0.3","752","-0.4","Total, all industries","78","VI"
 
