"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Third Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2013","Third Quarter","116015","1847420","0.8","795","1.4","Total, all industries","01","AL"
Alaska,"2013","Third Quarter","22063","345028","0.4","989","2.9","Total, all industries","02","AK"
Arizona,"2013","Third Quarter","143581","2494095","2.3","859","1.5","Total, all industries","04","AZ"
Arkansas,"2013","Third Quarter","87118","1156005","0.0","724","2.3","Total, all industries","05","AR"
California,"2013","Third Quarter","1338690","15536556","2.8","1056","2.0","Total, all industries","06","CA"
Colorado,"2013","Third Quarter","175710","2355594","3.1","953","1.8","Total, all industries","08","CO"
Connecticut,"2013","Third Quarter","113133","1650625","0.7","1109","1.9","Total, all industries","09","CT"
Delaware,"2013","Third Quarter","28424","418005","2.4","940","2.0","Total, all industries","10","DE"
District Of Columbia,"2013","Third Quarter","35567","727173","1.7","1561","3.0","Total, all industries","11","DC"
Florida,"2013","Third Quarter","625010","7501100","2.6","809","1.3","Total, all industries","12","FL"
Georgia,"2013","Third Quarter","274093","3927022","2.3","867","1.5","Total, all industries","13","GA"
Hawaii,"2013","Third Quarter","38327","619403","2.0","837","1.3","Total, all industries","15","HI"
Idaho,"2013","Third Quarter","53414","645044","2.4","703","2.3","Total, all industries","16","ID"
Illinois,"2013","Third Quarter","402010","5739633","0.8","958","1.4","Total, all industries","17","IL"
Indiana,"2013","Third Quarter","159675","2884084","1.2","784","1.6","Total, all industries","18","IN"
Iowa,"2013","Third Quarter","98019","1512732","1.5","772","2.1","Total, all industries","19","IA"
Kansas,"2013","Third Quarter","84557","1346481","1.7","776","2.0","Total, all industries","20","KS"
Kentucky,"2013","Third Quarter","118773","1795562","1.1","762","1.3","Total, all industries","21","KY"
Louisiana,"2013","Third Quarter","127246","1896681","1.6","826","2.7","Total, all industries","22","LA"
Maine,"2013","Third Quarter","49470","602375","0.8","735","1.8","Total, all industries","23","ME"
Maryland,"2013","Third Quarter","167740","2546176","0.6","1011","0.4","Total, all industries","24","MD"
Massachusetts,"2013","Third Quarter","230019","3327272","1.5","1130","2.5","Total, all industries","25","MA"
Michigan,"2013","Third Quarter","239046","4073767","2.2","875","1.5","Total, all industries","26","MI"
Minnesota,"2013","Third Quarter","165675","2727467","1.8","938","2.6","Total, all industries","27","MN"
Mississippi,"2013","Third Quarter","70587","1099662","0.8","688","2.5","Total, all industries","28","MS"
Missouri,"2013","Third Quarter","181244","2660796","1.3","806","1.5","Total, all industries","29","MO"
Montana,"2013","Third Quarter","43273","446229","1.1","706","2.5","Total, all industries","30","MT"
Nebraska,"2013","Third Quarter","68369","939286","1.5","765","3.2","Total, all industries","31","NE"
Nevada,"2013","Third Quarter","74576","1169495","2.5","836","2.0","Total, all industries","32","NV"
New Hampshire,"2013","Third Quarter","49652","624910","0.6","895","2.4","Total, all industries","33","NH"
New Jersey,"2013","Third Quarter","257133","3849195","1.1","1069","1.4","Total, all industries","34","NJ"
New Mexico,"2013","Third Quarter","55674","795082","0.7","766","0.7","Total, all industries","35","NM"
New York,"2013","Third Quarter","613071","8728667","1.4","1109","1.8","Total, all industries","36","NY"
North Carolina,"2013","Third Quarter","255622","4009324","1.8","816","1.2","Total, all industries","37","NC"
North Dakota,"2013","Third Quarter","30896","437155","3.5","921","5.5","Total, all industries","38","ND"
Ohio,"2013","Third Quarter","288628","5148518","1.4","837","1.2","Total, all industries","39","OH"
Oklahoma,"2013","Third Quarter","105761","1576618","1.7","797","2.4","Total, all industries","40","OK"
Oregon,"2013","Third Quarter","132169","1711049","2.5","856","2.6","Total, all industries","41","OR"
Pennsylvania,"2013","Third Quarter","340217","5622529","0.3","913","1.6","Total, all industries","42","PA"
Rhode Island,"2013","Third Quarter","35562","465169","1.3","879","2.7","Total, all industries","44","RI"
South Carolina,"2013","Third Quarter","118105","1858828","2.3","750","1.8","Total, all industries","45","SC"
South Dakota,"2013","Third Quarter","31800","408865","0.9","707","3.5","Total, all industries","46","SD"
Tennessee,"2013","Third Quarter","144299","2710617","1.4","820","0.7","Total, all industries","47","TN"
Texas,"2013","Third Quarter","612349","11094014","2.8","952","2.5","Total, all industries","48","TX"
Utah,"2013","Third Quarter","87989","1265380","2.9","791","3.1","Total, all industries","49","UT"
Vermont,"2013","Third Quarter","24510","302746","0.1","787","3.3","Total, all industries","50","VT"
Virginia,"2013","Third Quarter","237608","3647818","0.5","970","1.0","Total, all industries","51","VA"
Washington,"2013","Third Quarter","250500","3017262","2.3","1046","2.2","Total, all industries","53","WA"
West Virginia,"2013","Third Quarter","49714","710707","-0.6","752","3.9","Total, all industries","54","WV"
Wisconsin,"2013","Third Quarter","163305","2754031","1.2","793","3.0","Total, all industries","55","WI"
Wyoming,"2013","Third Quarter","25559","286345","0.3","840","1.4","Total, all industries","56","WY"
Puerto Rico,"2013","Third Quarter","47758","910697","-2.6","501","-0.6","Total, all industries","72","PR"
Virgin Islands,"2013","Third Quarter","3378","37930","-1.9","706","-0.6","Total, all industries","78","VI"
 
