"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Second Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2015","Second Quarter","118371","1899809","1.4","819","1.6","Total, all industries","01","AL"
Alaska,"2015","Second Quarter","22228","346944","0.5","1028","2.4","Total, all industries","02","AK"
Arizona,"2015","Second Quarter","147714","2552795","2.7","904","1.8","Total, all industries","04","AZ"
Arkansas,"2015","Second Quarter","87631","1184823","1.7","762","2.1","Total, all industries","05","AR"
California,"2015","Second Quarter","1404373","16351965","2.8","1130","5.4","Total, all industries","06","CA"
Colorado,"2015","Second Quarter","185345","2517399","3.2","989","3.0","Total, all industries","08","CO"
Connecticut,"2015","Second Quarter","115339","1691672","0.8","1178","2.1","Total, all industries","09","CT"
Delaware,"2015","Second Quarter","30741","440182","2.5","996","2.0","Total, all industries","10","DE"
District Of Columbia,"2015","Second Quarter","37324","743551","1.6","1605","2.2","Total, all industries","11","DC"
Florida,"2015","Second Quarter","631870","7908188","3.6","861","2.6","Total, all industries","12","FL"
Georgia,"2015","Second Quarter","287096","4157691","3.1","905","2.6","Total, all industries","13","GA"
Hawaii,"2015","Second Quarter","38775","637147","1.8","875","3.7","Total, all industries","15","HI"
Idaho,"2015","Second Quarter","55549","677006","2.7","713","2.3","Total, all industries","16","ID"
Illinois,"2015","Second Quarter","402859","5933496","1.6","1014","2.5","Total, all industries","17","IL"
Indiana,"2015","Second Quarter","158955","2964719","1.6","811","3.4","Total, all industries","18","IN"
Iowa,"2015","Second Quarter","100273","1560959","0.9","802","2.8","Total, all industries","19","IA"
Kansas,"2015","Second Quarter","86428","1381457","0.7","819","2.8","Total, all industries","20","KS"
Kentucky,"2015","Second Quarter","122075","1850098","1.6","822","3.0","Total, all industries","21","KY"
Louisiana,"2015","Second Quarter","124558","1932245","0.5","850","0.8","Total, all industries","22","LA"
Maine,"2015","Second Quarter","50454","616579","0.9","768","2.9","Total, all industries","23","ME"
Maryland,"2015","Second Quarter","168925","2631577","1.4","1044","2.5","Total, all industries","24","MD"
Massachusetts,"2015","Second Quarter","236727","3496139","2.3","1209","4.5","Total, all industries","25","MA"
Michigan,"2015","Second Quarter","237437","4222675","1.5","917","2.2","Total, all industries","26","MI"
Minnesota,"2015","Second Quarter","162347","2826072","1.5","977","3.2","Total, all industries","27","MN"
Mississippi,"2015","Second Quarter","71155","1114287","1.0","709","0.6","Total, all industries","28","MS"
Missouri,"2015","Second Quarter","190349","2746220","1.7","843","2.9","Total, all industries","29","MO"
Montana,"2015","Second Quarter","44773","458465","1.2","754","2.7","Total, all industries","30","MT"
Nebraska,"2015","Second Quarter","71615","969761","1.3","786","4.0","Total, all industries","31","NE"
Nevada,"2015","Second Quarter","78318","1248061","3.2","855","2.6","Total, all industries","32","NV"
New Hampshire,"2015","Second Quarter","50450","647858","1.6","967","1.3","Total, all industries","33","NH"
New Jersey,"2015","Second Quarter","255927","3985119","1.1","1128","2.8","Total, all industries","34","NJ"
New Mexico,"2015","Second Quarter","56487","810392","1.0","805","1.4","Total, all industries","35","NM"
New York,"2015","Second Quarter","623186","9130288","1.8","1181","3.1","Total, all industries","36","NY"
North Carolina,"2015","Second Quarter","266017","4182837","2.6","847","3.5","Total, all industries","37","NC"
North Dakota,"2015","Second Quarter","32132","445064","-1.7","939","0.3","Total, all industries","38","ND"
Ohio,"2015","Second Quarter","290004","5312147","1.5","865","2.4","Total, all industries","39","OH"
Oklahoma,"2015","Second Quarter","108598","1592259","0.7","818","0.5","Total, all industries","40","OK"
Oregon,"2015","Second Quarter","139669","1818272","3.8","896","2.6","Total, all industries","41","OR"
Pennsylvania,"2015","Second Quarter","347925","5763611","0.8","958","2.7","Total, all industries","42","PA"
Rhode Island,"2015","Second Quarter","36292","479881","1.5","926","3.0","Total, all industries","44","RI"
South Carolina,"2015","Second Quarter","121305","1966974","2.7","782","2.1","Total, all industries","45","SC"
South Dakota,"2015","Second Quarter","32359","428563","1.3","740","3.9","Total, all industries","46","SD"
Tennessee,"2015","Second Quarter","149286","2833316","2.9","863","3.1","Total, all industries","47","TN"
Texas,"2015","Second Quarter","637333","11693289","2.4","988","1.5","Total, all industries","48","TX"
Utah,"2015","Second Quarter","92411","1345033","3.8","821","3.1","Total, all industries","49","UT"
Vermont,"2015","Second Quarter","24583","310769","1.0","830","2.1","Total, all industries","50","VT"
Virginia,"2015","Second Quarter","254293","3773004","1.9","999","2.4","Total, all industries","51","VA"
Washington,"2015","Second Quarter","239917","3192115","3.2","1028","3.3","Total, all industries","53","WA"
West Virginia,"2015","Second Quarter","50109","706969","-0.7","803","1.4","Total, all industries","54","WV"
Wisconsin,"2015","Second Quarter","166067","2843981","1.2","836","2.6","Total, all industries","55","WI"
Wyoming,"2015","Second Quarter","26170","292545","-1.1","868","-0.2","Total, all industries","56","WY"
Puerto Rico,"2015","Second Quarter","46108","886012","-1.2","511","1.6","Total, all industries","72","PR"
Virgin Islands,"2015","Second Quarter","3390","38028","0.4","746","1.9","Total, all industries","78","VI"
 
