"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2015","First Quarter","117333","1872924","1.3","844","2.2","Total, all industries","01","AL"
Alaska,"2015","First Quarter","21897","322213","1.0","1049","2.4","Total, all industries","02","AK"
Arizona,"2015","First Quarter","145352","2605867","2.5","925","0.9","Total, all industries","04","AZ"
Arkansas,"2015","First Quarter","87425","1166541","1.2","789","0.6","Total, all industries","05","AR"
California,"2015","First Quarter","1390019","16034098","3.0","1206","3.6","Total, all industries","06","CA"
Colorado,"2015","First Quarter","183761","2456736","3.6","1071","2.4","Total, all industries","08","CO"
Connecticut,"2015","First Quarter","114480","1640288","0.8","1382","1.5","Total, all industries","09","CT"
Delaware,"2015","First Quarter","30638","423197","2.6","1105","-0.5","Total, all industries","10","DE"
District Of Columbia,"2015","First Quarter","37058","735069","1.7","1759","2.9","Total, all industries","11","DC"
Florida,"2015","First Quarter","650371","8021195","3.6","885","1.8","Total, all industries","12","FL"
Georgia,"2015","First Quarter","284140","4093603","3.1","989","1.7","Total, all industries","13","GA"
Hawaii,"2015","First Quarter","38424","636047","1.7","881","2.8","Total, all industries","15","HI"
Idaho,"2015","First Quarter","55090","647895","2.7","736","2.2","Total, all industries","16","ID"
Illinois,"2015","First Quarter","396790","5734453","1.4","1132","2.6","Total, all industries","17","IL"
Indiana,"2015","First Quarter","158691","2894075","1.8","857","1.4","Total, all industries","18","IN"
Iowa,"2015","First Quarter","99757","1504831","1.3","847","2.8","Total, all industries","19","IA"
Kansas,"2015","First Quarter","85938","1357039","1.0","850","1.3","Total, all industries","20","KS"
Kentucky,"2015","First Quarter","121927","1809216","1.5","822","1.4","Total, all industries","21","KY"
Louisiana,"2015","First Quarter","123743","1926499","0.9","883","1.7","Total, all industries","22","LA"
Maine,"2015","First Quarter","49825","570243","0.7","795","1.1","Total, all industries","23","ME"
Maryland,"2015","First Quarter","167749","2542207","1.3","1112","2.4","Total, all industries","24","MD"
Massachusetts,"2015","First Quarter","233453","3345642","2.0","1341","3.2","Total, all industries","25","MA"
Michigan,"2015","First Quarter","236663","4077605","1.7","969","1.9","Total, all industries","26","MI"
Minnesota,"2015","First Quarter","162013","2708663","1.8","1078","4.2","Total, all industries","27","MN"
Mississippi,"2015","First Quarter","71514","1102511","0.6","710","0.6","Total, all industries","28","MS"
Missouri,"2015","First Quarter","189853","2677393","1.6","882","1.8","Total, all industries","29","MO"
Montana,"2015","First Quarter","44241","439973","2.5","749","2.5","Total, all industries","30","MT"
Nebraska,"2015","First Quarter","70754","943395","1.4","817","2.4","Total, all industries","31","NE"
Nevada,"2015","First Quarter","77671","1227643","3.7","865","-0.2","Total, all industries","32","NV"
New Hampshire,"2015","First Quarter","49745","623270","1.5","982","1.2","Total, all industries","33","NH"
New Jersey,"2015","First Quarter","252344","3818951","1.0","1290","2.1","Total, all industries","34","NJ"
New Mexico,"2015","First Quarter","56020","800040","1.5","805","1.5","Total, all industries","35","NM"
New York,"2015","First Quarter","620674","8864303","1.9","1460","0.0","Total, all industries","36","NY"
North Carolina,"2015","First Quarter","263499","4096188","2.4","930","1.9","Total, all industries","37","NC"
North Dakota,"2015","First Quarter","31915","436470","1.7","983","4.1","Total, all industries","38","ND"
Ohio,"2015","First Quarter","289809","5145531","1.4","920","1.2","Total, all industries","39","OH"
Oklahoma,"2015","First Quarter","107884","1593258","1.3","869","2.0","Total, all industries","40","OK"
Oregon,"2015","First Quarter","137857","1751456","3.7","918","2.8","Total, all industries","41","OR"
Pennsylvania,"2015","First Quarter","348741","5600177","0.7","1032","2.5","Total, all industries","42","PA"
Rhode Island,"2015","First Quarter","35991","456097","1.4","1007","1.1","Total, all industries","44","RI"
South Carolina,"2015","First Quarter","120592","1922282","2.6","800","1.7","Total, all industries","45","SC"
South Dakota,"2015","First Quarter","32126","406672","1.6","762","2.8","Total, all industries","46","SD"
Tennessee,"2015","First Quarter","149827","2768719","1.9","884","1.1","Total, all industries","47","TN"
Texas,"2015","First Quarter","632090","11552387","2.9","1089","2.5","Total, all industries","48","TX"
Utah,"2015","First Quarter","91237","1318567","3.7","844","1.6","Total, all industries","49","UT"
Vermont,"2015","First Quarter","24469","304341","1.1","824","2.0","Total, all industries","50","VT"
Virginia,"2015","First Quarter","242824","3653741","1.2","1070","1.9","Total, all industries","51","VA"
Washington,"2015","First Quarter","240338","3053099","2.9","1088","1.9","Total, all industries","53","WA"
West Virginia,"2015","First Quarter","49913","692277","-0.3","792","1.4","Total, all industries","54","WV"
Wisconsin,"2015","First Quarter","164429","2734604","1.5","877","2.5","Total, all industries","55","WI"
Wyoming,"2015","First Quarter","25929","278300","1.0","892","1.7","Total, all industries","56","WY"
Puerto Rico,"2015","First Quarter","46256","905643","-1.1","522","0.6","Total, all industries","72","PR"
Virgin Islands,"2015","First Quarter","3368","38450","0.0","747","0.5","Total, all industries","78","VI"
 
