"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Fourth Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2016","Fourth Quarter","124462","1933347","0.8","902","-1.2","Total, all industries","01","AL"
Alaska,"2016","Fourth Quarter","22101","310461","-1.8","1036","-5.4","Total, all industries","02","AK"
Arizona,"2016","Fourth Quarter","155145","2762179","2.2","945","-2.2","Total, all industries","04","AZ"
Arkansas,"2016","Fourth Quarter","88963","1205385","0.4","827","-1.4","Total, all industries","05","AR"
California,"2016","Fourth Quarter","1503772","16930563","2.0","1273","-0.2","Total, all industries","06","CA"
Colorado,"2016","Fourth Quarter","192741","2588772","2.0","1086","-1.5","Total, all industries","08","CO"
Connecticut,"2016","Fourth Quarter","117331","1685307","0.0","1289","-3.4","Total, all industries","09","CT"
Delaware,"2016","Fourth Quarter","31938","442167","0.1","1054","-2.9","Total, all industries","10","DE"
District Of Columbia,"2016","Fourth Quarter","39554","761989","0.6","1764","0.6","Total, all industries","11","DC"
Florida,"2016","Fourth Quarter","669963","8542086","2.7","943","-1.7","Total, all industries","12","FL"
Georgia,"2016","Fourth Quarter","303938","4347603","2.4","993","-0.9","Total, all industries","13","GA"
Hawaii,"2016","Fourth Quarter","40425","659270","0.8","954","-0.3","Total, all industries","15","HI"
Idaho,"2016","Fourth Quarter","60227","691475","3.2","800","-0.4","Total, all industries","16","ID"
Illinois,"2016","Fourth Quarter","402779","5953907","0.5","1122","-2.0","Total, all industries","17","IL"
Indiana,"2016","Fourth Quarter","161502","3023252","0.9","883","-0.9","Total, all industries","18","IN"
Iowa,"2016","Fourth Quarter","101644","1542932","0.2","911","-1.0","Total, all industries","19","IA"
Kansas,"2016","Fourth Quarter","90477","1384100","0.1","877","-2.2","Total, all industries","20","KS"
Kentucky,"2016","Fourth Quarter","123996","1894227","0.6","874","-1.4","Total, all industries","21","KY"
Louisiana,"2016","Fourth Quarter","129685","1910586","-1.5","914","-2.9","Total, all industries","22","LA"
Maine,"2016","Fourth Quarter","54133","602988","0.8","855","-2.1","Total, all industries","23","ME"
Maryland,"2016","Fourth Quarter","171813","2669749","1.1","1168","-0.5","Total, all industries","24","MD"
Massachusetts,"2016","Fourth Quarter","249809","3537710","1.5","1352","-2.4","Total, all industries","25","MA"
Michigan,"2016","Fourth Quarter","241982","4283497","1.5","1027","-1.5","Total, all industries","26","MI"
Minnesota,"2016","Fourth Quarter","163527","2839739","1.2","1064","-0.9","Total, all industries","27","MN"
Mississippi,"2016","Fourth Quarter","74109","1134672","0.0","756","-1.8","Total, all industries","28","MS"
Missouri,"2016","Fourth Quarter","196334","2783059","0.9","918","-1.7","Total, all industries","29","MO"
Montana,"2016","Fourth Quarter","46672","456738","0.8","821","0.4","Total, all industries","30","MT"
Nebraska,"2016","Fourth Quarter","71174","971855","0.0","875","-0.6","Total, all industries","31","NE"
Nevada,"2016","Fourth Quarter","81516","1306296","2.6","925","-1.1","Total, all industries","32","NV"
New Hampshire,"2016","Fourth Quarter","51909","656754","1.2","1092","-4.1","Total, all industries","33","NH"
New Jersey,"2016","Fourth Quarter","269753","4042779","1.4","1240","-1.8","Total, all industries","34","NJ"
New Mexico,"2016","Fourth Quarter","58219","812070","0.1","844","-2.5","Total, all industries","35","NM"
New York,"2016","Fourth Quarter","640331","9336284","1.2","1342","-2.3","Total, all industries","36","NY"
North Carolina,"2016","Fourth Quarter","270200","4324044","1.7","933","-0.6","Total, all industries","37","NC"
North Dakota,"2016","Fourth Quarter","32168","414376","-3.2","978","-4.2","Total, all industries","38","ND"
Ohio,"2016","Fourth Quarter","293980","5367909","0.8","944","-2.2","Total, all industries","39","OH"
Oklahoma,"2016","Fourth Quarter","109248","1588331","-1.2","865","-3.4","Total, all industries","40","OK"
Oregon,"2016","Fourth Quarter","147998","1862236","2.5","970","-1.0","Total, all industries","41","OR"
Pennsylvania,"2016","Fourth Quarter","353122","5800878","0.7","1039","-2.3","Total, all industries","42","PA"
Rhode Island,"2016","Fourth Quarter","37141","478245","0.0","1028","-1.5","Total, all industries","44","RI"
South Carolina,"2016","Fourth Quarter","126754","2026929","1.9","855","-0.6","Total, all industries","45","SC"
South Dakota,"2016","Fourth Quarter","33223","419847","0.5","828","-0.5","Total, all industries","46","SD"
Tennessee,"2016","Fourth Quarter","155030","2946981","1.7","971","-1.0","Total, all industries","47","TN"
Texas,"2016","Fourth Quarter","664620","11972594","1.2","1072","-2.5","Total, all industries","48","TX"
Utah,"2016","Fourth Quarter","97937","1414274","2.8","910","-0.3","Total, all industries","49","UT"
Vermont,"2016","Fourth Quarter","25289","313029","0.3","897","-2.4","Total, all industries","50","VT"
Virginia,"2016","Fourth Quarter","261873","3834631","0.7","1090","-0.4","Total, all industries","51","VA"
Washington,"2016","Fourth Quarter","241878","3227909","2.8","1150","1.7","Total, all industries","53","WA"
West Virginia,"2016","Fourth Quarter","50230","692182","-1.8","809","-2.5","Total, all industries","54","WV"
Wisconsin,"2016","Fourth Quarter","170362","2843872","0.6","923","-2.1","Total, all industries","55","WI"
Wyoming,"2016","Fourth Quarter","25864","266030","-3.8","894","-4.7","Total, all industries","56","WY"
Puerto Rico,"2016","Fourth Quarter","45761","927324","-0.4","556","-1.8","Total, all industries","72","PR"
Virgin Islands,"2016","Fourth Quarter","3457","38535","0.4","768","-1.9","Total, all industries","78","VI"
 
