"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","First Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2013","First Quarter","114751","1838385","0.9","812","0.5","Total, all industries","01","AL"
Alaska,"2013","First Quarter","21704","318166","0.6","988","1.5","Total, all industries","02","AK"
Arizona,"2013","First Quarter","142246","2494238","2.2","890","0.5","Total, all industries","04","AZ"
Arkansas,"2013","First Quarter","86249","1149534","-0.2","765","2.4","Total, all industries","05","AR"
California,"2013","First Quarter","1294090","15147788","2.8","1115","-0.3","Total, all industries","06","CA"
Colorado,"2013","First Quarter","173621","2298843","3.0","1004","0.1","Total, all industries","08","CO"
Connecticut,"2013","First Quarter","111916","1618488","0.4","1319","-0.5","Total, all industries","09","CT"
Delaware,"2013","First Quarter","28033","404479","1.6","1068","-0.4","Total, all industries","10","DE"
District Of Columbia,"2013","First Quarter","35242","719035","1.2","1616","0.7","Total, all industries","11","DC"
Florida,"2013","First Quarter","618153","7536505","2.1","843","0.7","Total, all industries","12","FL"
Georgia,"2013","First Quarter","270846","3873217","1.7","940","1.0","Total, all industries","13","GA"
Hawaii,"2013","First Quarter","37668","617226","2.6","841","1.1","Total, all industries","15","HI"
Idaho,"2013","First Quarter","52663","611100","2.6","695","0.6","Total, all industries","16","ID"
Illinois,"2013","First Quarter","398315","5602343","0.7","1059","-0.1","Total, all industries","17","IL"
Indiana,"2013","First Quarter","159574","2807644","1.1","831","1.1","Total, all industries","18","IN"
Iowa,"2013","First Quarter","96806","1463896","1.0","800","1.9","Total, all industries","19","IA"
Kansas,"2013","First Quarter","83498","1320388","0.6","807","0.4","Total, all industries","20","KS"
Kentucky,"2013","First Quarter","115622","1765141","0.9","790","0.6","Total, all industries","21","KY"
Louisiana,"2013","First Quarter","125266","1887258","1.1","846","1.2","Total, all industries","22","LA"
Maine,"2013","First Quarter","48884","561947","0.1","771","1.8","Total, all industries","23","ME"
Maryland,"2013","First Quarter","170671","2509402","0.8","1067","-0.5","Total, all industries","24","MD"
Massachusetts,"2013","First Quarter","224536","3229772","1.4","1234","0.6","Total, all industries","25","MA"
Michigan,"2013","First Quarter","238711","3944716","1.9","921","0.2","Total, all industries","26","MI"
Minnesota,"2013","First Quarter","161912","2631232","1.9","1002","1.2","Total, all industries","27","MN"
Mississippi,"2013","First Quarter","69653","1089820","0.5","695","1.0","Total, all industries","28","MS"
Missouri,"2013","First Quarter","179540","2608080","0.6","842","0.6","Total, all industries","29","MO"
Montana,"2013","First Quarter","42674","427022","1.8","707","0.1","Total, all industries","30","MT"
Nebraska,"2013","First Quarter","68676","915363","1.0","777","1.7","Total, all industries","31","NE"
Nevada,"2013","First Quarter","73970","1144418","2.3","844","-0.2","Total, all industries","32","NV"
New Hampshire,"2013","First Quarter","48549","606100","0.7","938","1.6","Total, all industries","33","NH"
New Jersey,"2013","First Quarter","252839","3769796","0.8","1236","0.7","Total, all industries","34","NJ"
New Mexico,"2013","First Quarter","54695","785339","0.7","778","-0.6","Total, all industries","35","NM"
New York,"2013","First Quarter","604974","8560542","1.0","1361","0.3","Total, all industries","36","NY"
North Carolina,"2013","First Quarter","254770","3935788","1.6","884","1.7","Total, all industries","37","NC"
North Dakota,"2013","First Quarter","30251","415263","4.5","885","3.1","Total, all industries","38","ND"
Ohio,"2013","First Quarter","287822","5006709","0.7","884","1.1","Total, all industries","39","OH"
Oklahoma,"2013","First Quarter","105337","1554227","1.4","822","2.2","Total, all industries","40","OK"
Oregon,"2013","First Quarter","128488","1643003","1.8","864","0.0","Total, all industries","41","OR"
Pennsylvania,"2013","First Quarter","341441","5542225","0.1","967","0.8","Total, all industries","42","PA"
Rhode Island,"2013","First Quarter","35267","445019","0.7","954","2.4","Total, all industries","44","RI"
South Carolina,"2013","First Quarter","115010","1824580","1.4","772","1.0","Total, all industries","45","SC"
South Dakota,"2013","First Quarter","31454","394583","1.1","709","0.9","Total, all industries","46","SD"
Tennessee,"2013","First Quarter","142670","2672044","1.4","855","0.9","Total, all industries","47","TN"
Texas,"2013","First Quarter","604591","10932747","3.0","1016","0.4","Total, all industries","48","TX"
Utah,"2013","First Quarter","85505","1233147","3.3","804","0.6","Total, all industries","49","UT"
Vermont,"2013","First Quarter","24315","299714","0.8","792","2.5","Total, all industries","50","VT"
Virginia,"2013","First Quarter","238449","3614137","0.8","1027","0.8","Total, all industries","51","VA"
Washington,"2013","First Quarter","240634","2890051","2.2","1029","1.9","Total, all industries","53","WA"
West Virginia,"2013","First Quarter","49390","700921","-0.7","768","0.0","Total, all industries","54","WV"
Wisconsin,"2013","First Quarter","160338","2666659","1.0","832","0.7","Total, all industries","55","WI"
Wyoming,"2013","First Quarter","25457","272622","0.3","859","0.8","Total, all industries","56","WY"
Puerto Rico,"2013","First Quarter","47453","931476","0.0","514","-1.3","Total, all industries","72","PR"
Virgin Islands,"2013","First Quarter","3436","39747","-6.7","725","0.3","Total, all industries","78","VI"
 
