"Source","U.S. Bureau of Labor Statistics, Quarterly Census of Employment and Wages"
"Period","Fourth Quarter"
"Industry","Total, all industries"
"Area Name","Year","Quarter","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2017","Fourth Quarter","127297","1955326","1.1","928","2.9","Total, all industries","01","AL"
Alaska,"2017","Fourth Quarter","21877","307169","-1.1","1051","1.4","Total, all industries","02","AK"
Arizona,"2017","Fourth Quarter","160809","2837219","2.7","977","3.4","Total, all industries","04","AZ"
Arkansas,"2017","Fourth Quarter","90000","1217287","1.0","849","2.7","Total, all industries","05","AR"
California,"2017","Fourth Quarter","1544359","17263084","2.0","1348","5.9","Total, all industries","06","CA"
Colorado,"2017","Fourth Quarter","199766","2654741","2.5","1133","4.3","Total, all industries","08","CO"
Connecticut,"2017","Fourth Quarter","119390","1689163","0.2","1317","2.2","Total, all industries","09","CT"
Delaware,"2017","Fourth Quarter","32020","446350","0.9","1081","2.6","Total, all industries","10","DE"
District Of Columbia,"2017","Fourth Quarter","41341","770574","1.1","1811","2.7","Total, all industries","11","DC"
Florida,"2017","Fourth Quarter","680035","8718087","2.1","976","3.5","Total, all industries","12","FL"
Georgia,"2017","Fourth Quarter","274662","4421894","1.7","1028","3.5","Total, all industries","13","GA"
Hawaii,"2017","Fourth Quarter","41872","665639","1.0","984","3.1","Total, all industries","15","HI"
Idaho,"2017","Fourth Quarter","62198","711528","2.9","859","7.4","Total, all industries","16","ID"
Illinois,"2017","Fourth Quarter","367672","6007090","0.9","1151","2.6","Total, all industries","17","IL"
Indiana,"2017","Fourth Quarter","163796","3059430","1.2","915","3.6","Total, all industries","18","IN"
Iowa,"2017","Fourth Quarter","102304","1549871","0.4","938","3.0","Total, all industries","19","IA"
Kansas,"2017","Fourth Quarter","88464","1391622","0.5","894","1.9","Total, all industries","20","KS"
Kentucky,"2017","Fourth Quarter","122236","1908513","0.8","895","2.4","Total, all industries","21","KY"
Louisiana,"2017","Fourth Quarter","131790","1921507","0.6","933","2.1","Total, all industries","22","LA"
Maine,"2017","Fourth Quarter","54333","610730","1.3","884","3.4","Total, all industries","23","ME"
Maryland,"2017","Fourth Quarter","172614","2681652","0.4","1207","3.3","Total, all industries","24","MD"
Massachusetts,"2017","Fourth Quarter","254281","3584284","1.3","1410","4.3","Total, all industries","25","MA"
Michigan,"2017","Fourth Quarter","247385","4321713","0.9","1063","3.5","Total, all industries","26","MI"
Minnesota,"2017","Fourth Quarter","171335","2876130","1.3","1100","3.4","Total, all industries","27","MN"
Mississippi,"2017","Fourth Quarter","73965","1141553","0.6","774","2.4","Total, all industries","28","MS"
Missouri,"2017","Fourth Quarter","208639","2807464","0.9","946","3.1","Total, all industries","29","MO"
Montana,"2017","Fourth Quarter","50176","461322","1.0","844","2.8","Total, all industries","30","MT"
Nebraska,"2017","Fourth Quarter","71496","981212","1.0","901","3.0","Total, all industries","31","NE"
Nevada,"2017","Fourth Quarter","80573","1352411","3.5","955","3.2","Total, all industries","32","NV"
New Hampshire,"2017","Fourth Quarter","52461","661503","0.7","1132","3.7","Total, all industries","33","NH"
New Jersey,"2017","Fourth Quarter","270259","4093102","1.2","1264","1.9","Total, all industries","34","NJ"
New Mexico,"2017","Fourth Quarter","58569","817874","0.7","865","2.5","Total, all industries","35","NM"
New York,"2017","Fourth Quarter","643891","9467669","1.4","1431","6.6","Total, all industries","36","NY"
North Carolina,"2017","Fourth Quarter","276477","4389335","1.5","964","3.3","Total, all industries","37","NC"
North Dakota,"2017","Fourth Quarter","32006","416106","0.4","1010","3.3","Total, all industries","38","ND"
Ohio,"2017","Fourth Quarter","297215","5413211","0.8","973","3.1","Total, all industries","39","OH"
Oklahoma,"2017","Fourth Quarter","111342","1608755","1.3","895","3.5","Total, all industries","40","OK"
Oregon,"2017","Fourth Quarter","152129","1903183","2.2","1014","4.5","Total, all industries","41","OR"
Pennsylvania,"2017","Fourth Quarter","353949","5872180","1.2","1075","3.5","Total, all industries","42","PA"
Rhode Island,"2017","Fourth Quarter","37498","483408","1.1","1057","2.8","Total, all industries","44","RI"
South Carolina,"2017","Fourth Quarter","132014","2061054","1.7","876","2.5","Total, all industries","45","SC"
South Dakota,"2017","Fourth Quarter","33484","423293","0.8","856","3.4","Total, all industries","46","SD"
Tennessee,"2017","Fourth Quarter","158521","2985547","1.3","1000","3.0","Total, all industries","47","TN"
Texas,"2017","Fourth Quarter","684593","12224998","2.1","1109","3.5","Total, all industries","48","TX"
Utah,"2017","Fourth Quarter","101577","1464873","3.6","936","2.9","Total, all industries","49","UT"
Vermont,"2017","Fourth Quarter","25633","315514","0.8","924","3.0","Total, all industries","50","VT"
Virginia,"2017","Fourth Quarter","274560","3885413","1.3","1121","2.8","Total, all industries","51","VA"
Washington,"2017","Fourth Quarter","240430","3303711","2.3","1216","5.7","Total, all industries","53","WA"
West Virginia,"2017","Fourth Quarter","50838","694064","0.3","847","4.7","Total, all industries","54","WV"
Wisconsin,"2017","Fourth Quarter","172569","2874926","1.1","951","3.0","Total, all industries","55","WI"
Wyoming,"2017","Fourth Quarter","26280","267433","0.5","937","4.8","Total, all industries","56","WY"
Puerto Rico,"2017","Fourth Quarter","44845","888979","-4.1","571","2.7","Total, all industries","72","PR"
Virgin Islands,"2017","Fourth Quarter","3407","34375","-10.8","904","17.7","Total, all industries","78","VI"
 
